,Set,Price_Euro,Pieces,Minifigs
141,Thanksgiving Scarecrow,9.99,177,
142,"Reindeer, Elf and Elfie",19.99,281,
143,Dragon Dance Guy,9.99,170,
144,LEGO House Exclusive Minifigure 2019,,7,1 (1 unique to this set)
145,LEGO Store Picture Frame,14.99,170,1 (1 unique to this set)
146,Name Sign,9.99,91,
147,Olaf's Traveling Sleigh,,97,1
148,Battle of Endor,,197,
149,LEGO House Dinosaurs,,864,
150,Lady Liberty,9.99,153,
151,Xmas Accessories,3.99,32,1 (1 unique to this set)
152,Rebuild the World minifigure,,6,
153,1989 Batmobile - Limited Edition,,366,
154,Reindeer,,77,
155,Plants from Plants,,29,
156,Jasmine's Petite Tower,9.99,49,1 (1 unique to this set)
157,Cinderella's Carriage Ride,19.99,91,1
158,Ariel's Castle,24.99,115,1 (1 unique to this set)
159,Aladdin's and Jasmine's Palace Adventures,29.99,193,2 (2 unique to this set)
160,"Ariel, Aurora, and Tiana's Royal Celebration",44.99,282,3 (3 unique to this set)
161,Rapunzel's Small Tower,9.99,44,1 (1 unique to this set)
162,Enchanted Treehouse,48.73,302,3 (1 unique to this set)
163,Anna's Canoe Expedition,19.99,108,2
164,Elsa and the Reindeer Carriage,29.99,116,1
165,Arendelle Castle Village,79.99,521,3 (2 unique to this set)
166,Elsa's Jewellery Box Creation,39.99,300,1
167,Olaf,14.61,122,
168,Underwater Loop,29.23,389,2 (2 unique to this set)
169,Andrea's Heart Box,7.99,84,1 (1 unique to this set)
170,Emma's Heart Box,7.99,85,1 (1 unique to this set)
171,Stephanie's Heart Box,7.99,85,1 (1 unique to this set)
172,Olivia's Heart Box,7.99,85,2 (2 unique to this set)
173,Mia's Heart Box,7.99,83,1 (1 unique to this set)
174,Heart Box Friendship Pack,19.99,199,2 (2 unique to this set)
175,Emma's Mobile Veterinary Clinic ,9.74,50,1 (1 unique to this set)
176,Mia's Foal Stable ,19.49,118,1 (1 unique to this set)
177,Heartlake City Supermarket,29.23,140,2
178,Mia's Forest Adventure,14.99,134,1 (1 unique to this set)
179,Stephanie's Buggy & Trailer ,19.99,166,1 (1 unique to this set)
180,Emma's Art Studio,24.99,235,2 (2 unique to this set)
181,Olivia's Cupcake Cafe,29.23,335,2 (2 unique to this set)
182,Stephanie's Horse Jumping,38.98,337,2 (2 unique to this set)
183,Andrea's Talent Show,49.99,492,2 (1 unique to this set)
184,Mia's House,68.23,715,3 (2 unique to this set)
185,Mia's Horse Trailer,29.23,216,2 (2 unique to this set)
186,Stephanie's Gymnastics Show,29.23,241,2 (2 unique to this set)
187,Funny Octopus Ride,38.98,324,2 (1 unique to this set)
188,Andrea's Pool Party,48.73,468,2 (2 unique to this set)
189,Heartlake City Amusement Pier,126.71,1251,7 (7 unique to this set)
190,Turtles Rescue Mission,19.49,225,2 (2 unique to this set)
191,Dolphins Rescue Mission,38.98,363,2 (2 unique to this set)
192,Heartlake City Restaurant,58.48,624,3 (1 unique to this set)
193,Lighthouse Rescue Centre,58.48,602,2 (2 unique to this set)
194,Rescue Mission Boat,87.72,908,4 (4 unique to this set)
195,LEGO Friends Advent Calendar,24.99,330,3 (3 unique to this set)
196,Olivia's Hamster Playground,9.74,81,1 (1 unique to this set)
197,Andrea's Summer Heart Box,7.99,83,1 (1 unique to this set)
